body,title,url
La designación como primer ministro de un marxista con un carácter intolerante despierta una crítica unánime ,La Bolsa cae un 6% y el dólar alcanza su máximo histórico en Perú tras las primeras decisiones de Castillo ,https://elpais.com/internacional/2021-07-30/la-bolsa-cae-un-6-y-el-dolar-alcanza-su-maximo-historico-en-peru-tras-las-primeras-decisiones-de-castillo.html
"La capacidad de estos archivos  para monitorizar nuestra actividad en la red reside en que, cada vez que yo regrese a una página, mi navegador le enviará todas las que esa web me dejó anteriormente","Oímos mucho hablar de las ‘cookies’ informáticas, ¿pero sabemos cómo funcionan?",https://elpais.com/tecnologia/2021-07-30/oimos-mucho-hablar-de-las-cookies-informaticas-pero-sabemos-como-funcionan.html
"Roxana Ruiz, de 21 años, lleva tres meses en prisión preventiva por matar a su presunto agresor en Nezahualcóyotl, uno de los municipios del Estado de México más peligrosos para las mujeres",“Él me había violado y yo solo quise defenderme”,https://elpais.com/mexico/2021-07-30/el-me-habia-violado-y-yo-solo-quise-defenderme.html
"La justicia salvadoreña, controlada por el presidente Nayib Bukele, acusa al mandatario de enriquecimiento ilícito junto a otros nueve exfuncionarios e integrantes del FMLN","Ortega da la nacionalidad nicaragüense a Sánchez Cerén, expresidente de El Salvador señalado de corrupción",https://elpais.com/internacional/2021-07-31/ortega-da-la-nacionalidad-nicaraguense-a-sanchez-ceren-expresidente-de-el-salvador-senalado-de-corrupcion.html
Los cuadernos íntimos del popular escritor austriaco se mueven entre la ligereza sentimental de los primeros años del siglo XX y el drama de las dos guerras mundiales,Stefan Zweig más cercano que nunca ,https://elpais.com/babelia/2021-07-30/stefan-zweig-mas-cercano-que-nunca.html
"Políticos, supervisores, empresarios y agentes sociales recomiendan a los lectores de ‘Negocios’ un libro para agosto. Hay ensayos financieros, novelas, poesía y, cómo no, reflexiones sobre la pandemia y el impacto del cambio climático",Qué lee la élite económica en verano,https://elpais.com/economia/2021-07-31/que-lee-la-elite-economica-en-verano.html
"Después del rotundo éxito internacional de ‘La casa de papel’, la actriz estrena el 13 de agosto ‘Snake eyes’, su primera producción en Hollywood",Úrsula Corberó: “No siempre te apetece pararte a charlar con la gente. Tampoco estás de buen humor todos los días” ,https://elpais.com/gente/2021-07-31/ursula-corbero-no-siempre-te-apetece-pararte-a-charlar-con-la-gente-tampoco-estas-de-buen-humor-todos-los-dias.html
La firma Index Ventures creyó en la aplicación cuando otros le cerraban la puerta,Cómo la fe de un inversor en Robinhood convirtió medio millón de dólares en 3.000 millones,https://elpais.com/economia/2021-07-30/como-la-fe-de-un-inversor-en-robinhood-convirtio-medio-millon-de-dolares-en-3000-millones.html
"Millones de menores de edad son víctimas de violación de sus derechos, sin poder escapar y a la espera de que alguien los rescate. La situación debe abordarse con urgencia pero concienciar a la sociedad de sus gravedad requiere también gran esfuerzo",Educar para acabar con la trata,https://elpais.com/planeta-futuro/2021-07-30/educar-para-acabar-con-la-trata.html
Los sistemas binarios de Rayos X con compañera Be (BeXRBs) representan uno de los grandes enigmas de la historia cósmica,Los astros condenados a vivir en pareja,https://elpais.com/ciencia/2021-07-30/los-astros-condenados-a-vivir-en-pareja.html
